hour_utc,anchor_block,l1_gas_price_gwei,avg_gas_used,avg_gas_limit,utilization_pct,avg_tx_count,base_fee_gwei,n_blocks_sampled
2026-06-12T16:00:00+00:00,96575448,0.562530,213567,60000000,0.3559,1.67,50.00,6
2026-06-12T17:00:00+00:00,96576644,0.312915,66480,60000000,0.1108,1.17,50.00,6
2026-06-12T18:00:00+00:00,96578444,0.177648,134378,60000000,0.2240,1.50,50.00,6
2026-06-12T19:00:00+00:00,96580244,0.184142,77853,60000000,0.1298,1.33,50.00,6
2026-06-12T20:00:00+00:00,96582044,0.130544,73192,60000000,0.1220,1.50,50.00,6
2026-06-12T21:00:00+00:00,96583844,0.161869,76490,60000000,0.1275,1.17,50.00,6
2026-06-12T22:00:00+00:00,96585644,0.124116,50026,60000000,0.0834,1.00,50.00,6
2026-06-12T23:00:00+00:00,96587444,0.134001,115753,60000000,0.1929,1.33,50.00,6
2026-06-13T00:00:00+00:00,96589244,0.144951,46297,60000000,0.0772,1.00,50.00,6
2026-06-13T01:00:00+00:00,96591044,0.145841,114356,60000000,0.1906,1.33,50.00,6
2026-06-13T02:00:00+00:00,96592844,0.124352,165943,60000000,0.2766,1.67,50.00,6
2026-06-13T03:00:00+00:00,96594644,0.130404,167014,60000000,0.2784,2.33,50.00,6
2026-06-13T04:00:00+00:00,96596444,0.116505,159411,60000000,0.2657,1.67,50.00,6
2026-06-13T05:00:00+00:00,96598244,0.108747,67328,60000000,0.1122,1.17,50.00,6
2026-06-13T06:00:00+00:00,96600044,0.127197,54898,60000000,0.0915,1.17,50.00,6
2026-06-13T07:00:00+00:00,96601844,0.116771,170863,60000000,0.2848,2.00,50.00,6
2026-06-13T08:00:00+00:00,96603644,0.102737,274650,60000000,0.4578,2.00,50.00,6
2026-06-13T09:00:00+00:00,96605444,0.139308,244934,60000000,0.4082,2.33,50.00,6
2026-06-13T10:00:00+00:00,96607244,0.113824,72416,60000000,0.1207,1.33,50.00,6
2026-06-13T11:00:00+00:00,96609044,0.113020,71397,60000000,0.1190,1.33,50.00,6
2026-06-13T12:00:00+00:00,96610844,0.105842,90398,60000000,0.1507,1.83,50.00,6
2026-06-13T13:00:00+00:00,96612644,0.142917,127108,60000000,0.2118,1.50,50.00,6
2026-06-13T14:00:00+00:00,96614444,0.149381,71163,60000000,0.1186,1.33,50.00,6
2026-06-13T15:00:00+00:00,96616244,0.158524,117353,60000000,0.1956,2.00,50.00,6
2026-06-13T16:00:00+00:00,96618044,0.167924,90396,60000000,0.1507,1.83,50.00,6
2026-06-13T17:00:00+00:00,96619844,0.146458,108042,60000000,0.1801,2.17,50.00,6
2026-06-13T18:00:00+00:00,96621644,0.129723,60432,60000000,0.1007,1.33,50.00,6
2026-06-13T19:00:00+00:00,96623444,0.124054,105928,60000000,0.1765,1.83,50.00,6
2026-06-13T20:00:00+00:00,96625244,0.142848,70930,60000000,0.1182,1.17,50.00,6
2026-06-13T21:00:00+00:00,96627044,0.139297,54035,60000000,0.0901,1.33,50.00,6
2026-06-13T22:00:00+00:00,96628844,0.138263,66879,60000000,0.1115,1.17,50.00,6
2026-06-13T23:00:00+00:00,96630644,0.106890,72216,60000000,0.1204,1.17,50.00,6
2026-06-14T00:00:00+00:00,96632444,0.126518,201409,60000000,0.3357,1.83,50.00,6
2026-06-14T01:00:00+00:00,96634244,0.132252,46297,60000000,0.0772,1.00,50.00,6
2026-06-14T02:00:00+00:00,96636044,0.099797,56453,60000000,0.0941,1.17,50.00,6
2026-06-14T03:00:00+00:00,96637844,0.135992,89610,60000000,0.1493,1.17,50.00,6
2026-06-14T04:00:00+00:00,96639644,0.126042,53756,60000000,0.0896,1.00,50.00,6
2026-06-14T05:00:00+00:00,96641444,0.115385,46299,60000000,0.0772,1.00,50.00,6
2026-06-14T06:00:00+00:00,96643244,0.128887,87890,60000000,0.1465,1.33,50.00,6
2026-06-14T07:00:00+00:00,96645044,0.123183,73824,60000000,0.1230,1.33,50.00,6
2026-06-14T08:00:00+00:00,96646844,0.130188,77555,60000000,0.1293,1.33,50.00,6
2026-06-14T09:00:00+00:00,96648644,0.103010,102200,60000000,0.1703,1.50,50.00,6
